scenario,difficulty,emotion,decision,response_time,personality,age_group,stress_level,context
money,high,stressed,cautious,very slow,balanced,senior,low,social
money,high,stressed,cautious,very slow,balanced,young,low,social
ethics,high,anxious,avoidant,very slow,introvert,young,medium,personal
conflict,medium,thinking,cautious,slow,balanced,senior,low,social
money,high,stressed,avoidant,very slow,introvert,senior,medium,personal
relationship,medium,thinking,cautious,moderate,balanced,senior,high,professional
career,high,anxious,avoidant,very slow,extrovert,middle,high,personal
risk,low,calm,analytical,moderate,extrovert,senior,medium,social
health,high,stressed,avoidant,slow,balanced,middle,medium,professional
career,very high,overwhelmed,impulsive,very slow,extrovert,young,high,social
risk,high,stressed,cautious,slow,introvert,middle,low,professional
career,medium,thinking,cautious,moderate,balanced,middle,medium,personal
conflict,medium,concerned,cautious,moderate,introvert,senior,low,social
career,medium,thinking,cautious,slow,balanced,young,high,social
money,high,anxious,cautious,very slow,extrovert,middle,low,social
deadline,very high,overwhelmed,impulsive,very slow,balanced,middle,medium,personal
conflict,high,anxious,avoidant,slow,balanced,young,medium,personal
deadline,very high,overwhelmed,impulsive,very slow,introvert,young,high,social
health,high,stressed,avoidant,slow,balanced,senior,high,professional
relationship,high,anxious,avoidant,slow,introvert,young,medium,professional
relationship,high,stressed,avoidant,slow,introvert,middle,high,personal
ethics,high,anxious,cautious,very slow,balanced,young,low,professional
relationship,high,anxious,avoidant,very slow,extrovert,middle,high,social
money,medium,concerned,cautious,slow,extrovert,young,high,social
career,very high,panic,impulsive,very slow,balanced,middle,low,personal
ethics,high,anxious,avoidant,slow,introvert,young,high,personal
risk,medium,concerned,cautious,moderate,extrovert,young,high,professional
ethics,high,anxious,avoidant,slow,introvert,young,high,professional
money,high,stressed,avoidant,very slow,introvert,middle,high,professional
conflict,medium,concerned,cautious,moderate,balanced,senior,low,personal
risk,high,stressed,cautious,very slow,extrovert,senior,low,social
risk,low,calm,analytical,moderate,balanced,senior,medium,social
health,high,stressed,avoidant,slow,balanced,middle,high,social
money,high,stressed,avoidant,slow,extrovert,senior,high,social
deadline,high,stressed,avoidant,very slow,introvert,young,high,professional
relationship,medium,concerned,cautious,moderate,balanced,middle,medium,professional
risk,high,anxious,cautious,slow,extrovert,senior,low,social
risk,low,focused,analytical,moderate,introvert,senior,medium,professional
risk,medium,thinking,cautious,slow,extrovert,young,high,professional
relationship,medium,thinking,cautious,moderate,balanced,middle,low,social
health,high,stressed,avoidant,very slow,introvert,senior,medium,social
relationship,high,stressed,avoidant,very slow,introvert,young,high,personal
risk,medium,concerned,cautious,slow,balanced,middle,high,professional
career,very high,overwhelmed,impulsive,very slow,extrovert,senior,medium,professional
health,high,anxious,avoidant,slow,introvert,middle,high,professional
risk,high,anxious,cautious,very slow,extrovert,young,low,professional
money,high,stressed,avoidant,slow,extrovert,young,medium,professional
deadline,very high,panic,impulsive,very slow,introvert,senior,medium,personal
deadline,high,anxious,avoidant,very slow,extrovert,young,medium,professional
conflict,medium,concerned,cautious,slow,extrovert,senior,medium,professional
deadline,very high,overwhelmed,impulsive,very slow,extrovert,young,low,professional
health,high,anxious,avoidant,slow,balanced,middle,medium,personal
career,medium,concerned,cautious,moderate,extrovert,middle,high,personal
money,medium,concerned,analytical,slow,balanced,young,medium,professional
risk,medium,concerned,cautious,moderate,balanced,young,high,social
money,high,stressed,avoidant,very slow,extrovert,senior,high,social
ethics,very high,panic,impulsive,very slow,extrovert,middle,high,professional
conflict,medium,concerned,cautious,slow,introvert,middle,high,social
deadline,very high,panic,impulsive,very slow,balanced,middle,low,personal
deadline,very high,overwhelmed,impulsive,very slow,balanced,middle,high,social
conflict,medium,concerned,cautious,slow,extrovert,young,high,personal
conflict,medium,concerned,cautious,moderate,balanced,middle,medium,social
health,high,anxious,avoidant,slow,introvert,young,medium,social
deadline,high,anxious,cautious,very slow,extrovert,middle,low,personal
health,very high,panic,impulsive,very slow,introvert,middle,high,social
ethics,very high,panic,impulsive,very slow,introvert,young,medium,personal
deadline,high,anxious,avoidant,slow,extrovert,senior,medium,personal
deadline,very high,panic,impulsive,very slow,balanced,senior,high,social
ethics,high,stressed,cautious,very slow,introvert,young,low,personal
relationship,high,anxious,avoidant,very slow,balanced,senior,medium,personal
ethics,high,anxious,avoidant,very slow,introvert,young,high,social
career,medium,thinking,cautious,moderate,introvert,middle,medium,social
career,very high,panic,impulsive,very slow,introvert,senior,medium,professional
relationship,medium,concerned,cautious,moderate,balanced,senior,medium,professional
career,medium,concerned,cautious,moderate,introvert,young,medium,professional
career,medium,concerned,cautious,slow,extrovert,young,high,professional
relationship,medium,concerned,cautious,slow,introvert,middle,high,personal
relationship,medium,concerned,cautious,moderate,extrovert,senior,high,professional
ethics,very high,panic,impulsive,very slow,balanced,senior,medium,personal
risk,high,stressed,avoidant,slow,balanced,middle,medium,professional
relationship,medium,thinking,cautious,slow,introvert,senior,low,personal
career,high,anxious,cautious,very slow,extrovert,senior,low,professional
health,high,anxious,cautious,slow,balanced,senior,low,professional
conflict,high,anxious,cautious,slow,extrovert,young,low,personal
risk,medium,thinking,cautious,moderate,introvert,senior,high,social
relationship,medium,concerned,cautious,slow,introvert,senior,medium,professional
risk,medium,thinking,cautious,moderate,introvert,young,medium,professional
health,very high,overwhelmed,analytical,very slow,introvert,young,low,social
career,medium,concerned,cautious,slow,balanced,middle,high,personal
health,high,stressed,avoidant,slow,introvert,middle,high,personal
risk,medium,concerned,cautious,slow,introvert,senior,low,social
career,high,anxious,cautious,slow,introvert,senior,low,professional
conflict,medium,thinking,cautious,slow,balanced,senior,high,professional
health,very high,panic,impulsive,very slow,introvert,young,high,personal
conflict,medium,thinking,cautious,moderate,extrovert,middle,medium,professional
risk,high,anxious,cautious,slow,balanced,young,low,social
career,medium,thinking,cautious,slow,extrovert,middle,medium,personal
career,medium,concerned,cautious,moderate,introvert,middle,high,professional
health,high,anxious,avoidant,slow,balanced,senior,medium,social
health,high,stressed,avoidant,slow,introvert,senior,high,personal
career,high,anxious,avoidant,very slow,balanced,middle,high,social
career,high,stressed,cautious,very slow,balanced,middle,low,personal
conflict,medium,concerned,cautious,slow,balanced,senior,high,social
money,high,anxious,avoidant,slow,introvert,senior,medium,personal
career,medium,thinking,cautious,moderate,introvert,senior,medium,social
money,high,anxious,cautious,slow,introvert,senior,high,social
ethics,high,anxious,avoidant,very slow,extrovert,young,high,social
ethics,high,anxious,cautious,very slow,extrovert,senior,low,professional
money,medium,concerned,cautious,moderate,extrovert,senior,low,professional
money,medium,thinking,cautious,slow,balanced,senior,medium,personal
career,very high,overwhelmed,impulsive,very slow,introvert,senior,low,professional
conflict,medium,thinking,cautious,slow,balanced,young,high,professional
conflict,high,anxious,impulsive,very slow,balanced,middle,high,professional
relationship,high,stressed,avoidant,very slow,balanced,senior,high,personal
ethics,very high,overwhelmed,impulsive,very slow,extrovert,young,high,professional
conflict,medium,concerned,cautious,moderate,introvert,middle,low,personal
relationship,high,anxious,avoidant,very slow,introvert,senior,medium,personal
conflict,medium,thinking,cautious,moderate,introvert,young,low,professional
conflict,high,anxious,avoidant,very slow,introvert,middle,medium,professional
money,medium,thinking,cautious,slow,extrovert,senior,low,personal
career,very high,overwhelmed,impulsive,very slow,extrovert,young,medium,social
ethics,very high,panic,impulsive,very slow,balanced,senior,high,personal
ethics,high,stressed,avoidant,slow,introvert,middle,medium,professional
conflict,high,stressed,avoidant,slow,balanced,middle,high,professional
risk,medium,thinking,cautious,moderate,extrovert,senior,low,personal
risk,low,calm,analytical,fast,extrovert,young,medium,social
health,very high,overwhelmed,analytical,very slow,balanced,young,medium,professional
conflict,high,stressed,avoidant,slow,extrovert,young,medium,professional
deadline,very high,overwhelmed,avoidant,very slow,introvert,young,high,social
career,medium,thinking,cautious,moderate,introvert,young,low,personal
money,high,anxious,cautious,slow,introvert,young,low,professional
money,high,stressed,avoidant,slow,balanced,senior,high,professional
career,medium,thinking,cautious,moderate,balanced,senior,medium,professional
risk,low,focused,cautious,fast,extrovert,senior,high,social
money,medium,concerned,cautious,slow,introvert,young,high,professional
money,high,stressed,cautious,slow,extrovert,young,low,social
relationship,medium,thinking,proactive,moderate,extrovert,senior,high,personal
risk,high,anxious,cautious,very slow,extrovert,senior,low,professional
career,medium,concerned,cautious,slow,balanced,young,high,professional
health,very high,overwhelmed,impulsive,very slow,introvert,senior,low,social
deadline,high,stressed,cautious,very slow,balanced,senior,low,personal
relationship,medium,concerned,cautious,slow,balanced,middle,high,social
conflict,medium,concerned,cautious,slow,extrovert,middle,medium,social
conflict,high,anxious,cautious,very slow,extrovert,young,low,social
ethics,high,anxious,cautious,very slow,balanced,young,low,personal
career,high,anxious,cautious,slow,balanced,young,low,social
career,medium,concerned,cautious,moderate,balanced,senior,medium,professional
risk,high,anxious,avoidant,very slow,balanced,young,high,social
money,medium,concerned,cautious,slow,introvert,senior,low,professional
ethics,high,stressed,avoidant,slow,extrovert,middle,high,social
money,medium,thinking,cautious,moderate,extrovert,middle,low,social
health,high,stressed,cautious,very slow,balanced,middle,low,professional
deadline,high,anxious,cautious,slow,extrovert,senior,low,professional
health,high,stressed,avoidant,slow,balanced,senior,high,social
conflict,high,anxious,avoidant,slow,balanced,young,high,professional
deadline,very high,panic,impulsive,very slow,extrovert,young,medium,social
money,medium,thinking,cautious,moderate,balanced,middle,medium,social
health,high,anxious,avoidant,slow,extrovert,middle,medium,social
money,medium,thinking,cautious,moderate,introvert,senior,high,social
conflict,high,anxious,avoidant,slow,introvert,young,high,professional
career,very high,panic,impulsive,very slow,introvert,middle,medium,personal
career,medium,thinking,cautious,moderate,introvert,senior,medium,professional
deadline,high,anxious,avoidant,very slow,introvert,middle,medium,personal
health,high,anxious,avoidant,slow,introvert,middle,high,social
ethics,very high,overwhelmed,proactive,very slow,introvert,young,low,professional
money,medium,thinking,cautious,moderate,introvert,senior,low,professional
deadline,high,anxious,impulsive,very slow,introvert,young,low,professional
career,medium,thinking,cautious,slow,extrovert,senior,high,personal
risk,high,stressed,cautious,very slow,introvert,senior,low,social
relationship,high,stressed,avoidant,slow,introvert,senior,medium,professional
conflict,medium,concerned,cautious,moderate,extrovert,young,medium,social
career,high,stressed,avoidant,very slow,introvert,young,medium,social
relationship,medium,concerned,cautious,slow,extrovert,middle,low,social
health,high,stressed,cautious,very slow,introvert,middle,low,professional
conflict,medium,concerned,cautious,slow,extrovert,middle,low,professional
career,high,stressed,avoidant,very slow,extrovert,senior,medium,professional
ethics,high,anxious,avoidant,very slow,balanced,young,high,personal
risk,low,calm,cautious,fast,extrovert,senior,high,professional
relationship,medium,concerned,cautious,moderate,introvert,middle,high,professional
ethics,very high,overwhelmed,avoidant,very slow,balanced,middle,high,professional
career,medium,concerned,cautious,moderate,introvert,middle,medium,social
career,medium,thinking,cautious,moderate,balanced,young,low,professional
deadline,high,stressed,cautious,slow,balanced,young,low,professional
risk,high,stressed,cautious,slow,balanced,young,low,social
career,medium,thinking,cautious,moderate,extrovert,senior,high,personal
relationship,medium,concerned,cautious,slow,extrovert,middle,low,personal
career,very high,overwhelmed,impulsive,very slow,introvert,young,high,professional
ethics,high,stressed,cautious,very slow,extrovert,young,low,personal
career,very high,panic,proactive,very slow,extrovert,senior,medium,social
deadline,very high,overwhelmed,impulsive,very slow,introvert,senior,low,professional
relationship,medium,thinking,cautious,moderate,extrovert,senior,high,professional
career,high,stressed,cautious,slow,extrovert,middle,low,professional
ethics,very high,panic,impulsive,very slow,introvert,middle,low,professional
ethics,high,anxious,analytical,slow,introvert,middle,medium,personal
health,high,anxious,cautious,slow,introvert,young,low,professional
risk,high,anxious,avoidant,very slow,introvert,young,high,social
career,very high,panic,impulsive,very slow,extrovert,middle,medium,social
ethics,high,anxious,avoidant,very slow,introvert,middle,high,personal
career,very high,overwhelmed,impulsive,very slow,balanced,young,medium,personal
relationship,high,stressed,cautious,very slow,balanced,senior,low,social
career,high,anxious,avoidant,slow,extrovert,senior,high,social
career,very high,panic,impulsive,very slow,balanced,young,low,social
career,medium,concerned,cautious,moderate,balanced,young,high,professional
ethics,high,anxious,avoidant,very slow,extrovert,young,medium,professional
relationship,medium,concerned,cautious,moderate,introvert,middle,medium,social
career,very high,panic,impulsive,very slow,balanced,senior,high,personal
career,high,anxious,cautious,very slow,introvert,young,low,social
ethics,high,anxious,cautious,slow,extrovert,senior,low,personal
money,high,stressed,avoidant,slow,introvert,middle,medium,professional
risk,high,anxious,avoidant,slow,extrovert,middle,medium,professional
conflict,medium,thinking,cautious,moderate,extrovert,middle,high,personal
relationship,medium,concerned,cautious,moderate,extrovert,young,high,social
conflict,high,anxious,cautious,very slow,introvert,senior,low,personal
deadline,high,anxious,avoidant,very slow,extrovert,middle,high,professional
relationship,high,stressed,avoidant,very slow,introvert,middle,high,social
relationship,medium,concerned,cautious,moderate,extrovert,young,medium,personal
health,high,stressed,avoidant,very slow,balanced,young,high,professional
health,high,anxious,avoidant,slow,balanced,senior,high,social
deadline,high,stressed,cautious,slow,introvert,senior,low,social
health,high,anxious,cautious,very slow,balanced,young,low,personal
risk,low,focused,analytical,moderate,introvert,middle,medium,social
conflict,high,stressed,cautious,slow,introvert,middle,low,professional
risk,medium,thinking,cautious,slow,introvert,senior,high,personal
relationship,high,anxious,avoidant,very slow,extrovert,young,medium,personal
conflict,medium,thinking,analytical,slow,introvert,young,high,personal
risk,low,calm,analytical,fast,introvert,young,medium,social
health,very high,panic,impulsive,very slow,introvert,middle,high,professional
conflict,high,stressed,avoidant,slow,extrovert,senior,high,social
deadline,high,anxious,cautious,very slow,balanced,senior,low,social
ethics,high,stressed,cautious,very slow,extrovert,middle,low,social
risk,low,focused,analytical,fast,balanced,young,low,professional
ethics,very high,overwhelmed,cautious,very slow,balanced,young,low,professional
money,medium,thinking,cautious,moderate,balanced,senior,high,personal
relationship,high,anxious,avoidant,slow,balanced,middle,high,professional
relationship,medium,concerned,cautious,moderate,introvert,senior,high,professional
risk,low,calm,analytical,fast,introvert,middle,medium,personal
deadline,high,anxious,analytical,slow,introvert,middle,low,personal
conflict,medium,thinking,cautious,moderate,balanced,senior,low,social
money,high,stressed,avoidant,very slow,balanced,middle,high,professional
relationship,high,stressed,cautious,slow,extrovert,young,low,personal
ethics,high,anxious,cautious,very slow,balanced,senior,low,social
ethics,very high,overwhelmed,impulsive,very slow,introvert,middle,low,social
money,medium,concerned,cautious,moderate,extrovert,middle,high,professional
career,high,stressed,avoidant,very slow,introvert,senior,medium,personal
ethics,high,anxious,cautious,very slow,introvert,middle,low,professional
conflict,medium,thinking,cautious,slow,balanced,middle,medium,personal
risk,low,focused,analytical,moderate,balanced,middle,low,personal
relationship,high,stressed,analytical,slow,balanced,middle,medium,personal
career,high,anxious,impulsive,slow,extrovert,young,high,personal
ethics,high,anxious,cautious,very slow,extrovert,young,low,social
conflict,high,stressed,avoidant,slow,extrovert,young,high,social
ethics,very high,overwhelmed,impulsive,very slow,extrovert,young,low,social
ethics,very high,overwhelmed,impulsive,very slow,balanced,young,medium,professional
conflict,high,anxious,avoidant,very slow,balanced,young,high,social
ethics,high,anxious,cautious,very slow,introvert,young,low,personal
deadline,high,anxious,avoidant,very slow,introvert,young,medium,social
money,high,anxious,avoidant,very slow,extrovert,middle,medium,social
risk,low,calm,analytical,moderate,extrovert,young,medium,professional
relationship,medium,thinking,cautious,slow,extrovert,senior,medium,social
deadline,high,anxious,avoidant,very slow,balanced,senior,high,professional
relationship,high,anxious,avoidant,slow,introvert,senior,medium,social
ethics,very high,overwhelmed,impulsive,very slow,introvert,young,high,personal
conflict,high,anxious,avoidant,very slow,introvert,middle,high,professional
health,very high,panic,impulsive,very slow,extrovert,senior,medium,personal
ethics,high,anxious,avoidant,very slow,balanced,middle,high,professional
relationship,high,stressed,avoidant,slow,extrovert,middle,medium,social
career,medium,concerned,cautious,slow,introvert,middle,medium,social
conflict,medium,concerned,analytical,moderate,balanced,senior,low,social
risk,high,stressed,avoidant,very slow,introvert,middle,high,professional
career,very high,overwhelmed,impulsive,very slow,introvert,senior,high,personal
risk,high,stressed,avoidant,slow,introvert,middle,high,professional
health,high,stressed,avoidant,very slow,balanced,senior,medium,social
career,medium,thinking,cautious,slow,balanced,senior,low,social
deadline,very high,panic,avoidant,very slow,introvert,middle,low,professional
money,medium,thinking,cautious,moderate,extrovert,middle,low,professional
deadline,very high,overwhelmed,impulsive,very slow,introvert,senior,low,personal
career,medium,thinking,cautious,moderate,extrovert,young,high,social
money,high,anxious,cautious,slow,introvert,senior,low,professional
deadline,very high,overwhelmed,impulsive,very slow,extrovert,middle,low,social
health,high,stressed,avoidant,very slow,extrovert,senior,high,personal
ethics,very high,panic,impulsive,very slow,extrovert,senior,low,personal
risk,medium,thinking,cautious,moderate,balanced,middle,high,professional
relationship,high,anxious,avoidant,slow,balanced,young,medium,social
relationship,high,stressed,cautious,slow,balanced,senior,low,social
risk,low,focused,analytical,fast,balanced,middle,low,social
health,very high,panic,impulsive,very slow,extrovert,senior,high,professional
career,high,stressed,cautious,very slow,introvert,young,low,professional
risk,low,focused,analytical,fast,introvert,senior,medium,professional
career,high,anxious,avoidant,slow,extrovert,middle,high,personal
career,very high,overwhelmed,impulsive,very slow,balanced,senior,low,personal
money,high,stressed,cautious,very slow,introvert,young,low,social
relationship,high,anxious,avoidant,slow,extrovert,senior,high,personal
health,high,anxious,cautious,slow,extrovert,middle,low,professional
risk,low,calm,analytical,fast,introvert,senior,low,personal
money,medium,concerned,cautious,moderate,extrovert,senior,medium,social
deadline,very high,overwhelmed,impulsive,very slow,introvert,middle,high,professional
conflict,high,stressed,avoidant,slow,balanced,middle,high,personal
ethics,high,anxious,cautious,slow,introvert,young,medium,social
money,medium,concerned,impulsive,slow,introvert,senior,high,personal
ethics,very high,panic,analytical,very slow,balanced,middle,low,personal
ethics,very high,panic,cautious,very slow,balanced,young,high,social
conflict,medium,concerned,cautious,moderate,introvert,middle,medium,social
relationship,medium,thinking,cautious,moderate,extrovert,senior,low,social
career,medium,concerned,cautious,moderate,introvert,senior,high,personal
ethics,high,anxious,avoidant,slow,extrovert,young,medium,social
conflict,high,anxious,avoidant,very slow,introvert,senior,high,social
relationship,medium,concerned,cautious,moderate,extrovert,senior,medium,professional
risk,high,stressed,avoidant,very slow,balanced,senior,high,personal
risk,high,stressed,avoidant,slow,introvert,senior,high,personal
conflict,high,stressed,avoidant,very slow,balanced,middle,high,professional
money,medium,thinking,cautious,moderate,extrovert,young,medium,social
ethics,very high,overwhelmed,impulsive,very slow,balanced,middle,low,professional
deadline,high,anxious,avoidant,very slow,balanced,senior,medium,professional
health,very high,overwhelmed,impulsive,very slow,extrovert,middle,low,social
money,high,stressed,avoidant,very slow,introvert,middle,medium,social
relationship,high,anxious,cautious,very slow,extrovert,middle,high,social
career,very high,panic,impulsive,very slow,balanced,senior,high,professional
ethics,high,anxious,impulsive,very slow,introvert,middle,low,professional
career,medium,concerned,cautious,moderate,extrovert,senior,medium,professional
career,very high,panic,impulsive,very slow,balanced,young,medium,professional
career,medium,concerned,cautious,slow,introvert,young,high,professional
money,high,anxious,avoidant,very slow,introvert,middle,medium,professional
relationship,high,stressed,avoidant,very slow,extrovert,middle,high,personal
career,medium,concerned,cautious,slow,extrovert,middle,high,personal
health,very high,panic,impulsive,very slow,balanced,senior,low,professional
money,high,stressed,avoidant,very slow,balanced,senior,medium,professional
ethics,high,anxious,cautious,very slow,introvert,senior,low,professional
deadline,high,stressed,avoidant,very slow,extrovert,middle,medium,professional
risk,medium,concerned,cautious,moderate,balanced,middle,medium,personal
ethics,high,anxious,avoidant,slow,introvert,senior,medium,personal
deadline,very high,panic,impulsive,very slow,extrovert,middle,high,social
health,high,stressed,avoidant,very slow,introvert,senior,medium,personal
risk,medium,concerned,cautious,moderate,extrovert,middle,medium,professional
risk,high,anxious,avoidant,very slow,extrovert,young,medium,professional
money,high,anxious,avoidant,very slow,extrovert,senior,medium,social
relationship,high,stressed,cautious,slow,balanced,young,low,professional
relationship,medium,concerned,cautious,moderate,extrovert,young,high,professional
money,high,anxious,proactive,very slow,extrovert,senior,medium,personal
risk,high,anxious,cautious,slow,extrovert,senior,low,professional
money,medium,thinking,cautious,slow,extrovert,senior,medium,personal
deadline,high,stressed,avoidant,very slow,extrovert,senior,medium,personal
money,high,anxious,cautious,very slow,introvert,middle,low,social
career,medium,concerned,cautious,moderate,balanced,senior,high,professional
relationship,high,anxious,cautious,very slow,introvert,senior,low,social
deadline,very high,overwhelmed,impulsive,very slow,introvert,senior,medium,professional
ethics,high,anxious,cautious,very slow,introvert,young,low,professional
money,high,anxious,avoidant,very slow,extrovert,senior,high,professional
risk,low,focused,analytical,moderate,introvert,middle,medium,personal
conflict,medium,concerned,cautious,moderate,balanced,young,high,professional
conflict,medium,concerned,cautious,moderate,extrovert,young,high,social
deadline,high,stressed,analytical,slow,introvert,young,high,professional
relationship,medium,concerned,cautious,slow,introvert,senior,low,social
ethics,very high,overwhelmed,analytical,very slow,introvert,young,high,professional
money,medium,concerned,cautious,slow,extrovert,middle,low,personal
relationship,medium,thinking,cautious,slow,introvert,senior,low,social
conflict,medium,thinking,cautious,slow,balanced,middle,medium,social
conflict,high,anxious,avoidant,slow,balanced,middle,high,personal
conflict,medium,thinking,cautious,slow,introvert,middle,low,social
health,high,stressed,cautious,very slow,introvert,young,low,social
risk,high,anxious,avoidant,very slow,extrovert,senior,high,professional
money,high,stressed,avoidant,slow,balanced,middle,medium,personal
risk,low,calm,cautious,moderate,balanced,middle,high,personal
health,high,anxious,avoidant,very slow,introvert,senior,high,professional
money,medium,thinking,cautious,moderate,extrovert,senior,low,personal
money,high,anxious,avoidant,slow,balanced,middle,medium,social
relationship,medium,thinking,cautious,moderate,extrovert,middle,medium,personal
relationship,medium,concerned,cautious,slow,balanced,young,medium,personal
career,medium,concerned,cautious,moderate,extrovert,young,medium,professional
health,high,anxious,avoidant,very slow,introvert,young,high,personal
deadline,very high,panic,impulsive,very slow,introvert,middle,medium,personal
money,medium,concerned,cautious,moderate,extrovert,middle,low,social
deadline,very high,panic,impulsive,very slow,balanced,young,low,professional
career,very high,overwhelmed,impulsive,very slow,introvert,senior,medium,professional
relationship,medium,concerned,cautious,moderate,extrovert,young,medium,professional
health,high,stressed,avoidant,slow,balanced,senior,high,personal
ethics,high,stressed,cautious,very slow,introvert,middle,high,social
career,high,anxious,cautious,slow,balanced,middle,low,personal
deadline,high,anxious,cautious,slow,introvert,young,low,social
deadline,high,stressed,cautious,very slow,extrovert,young,low,personal
health,very high,panic,impulsive,very slow,extrovert,young,high,personal
deadline,high,stressed,avoidant,slow,extrovert,middle,low,professional
health,very high,panic,impulsive,very slow,introvert,middle,low,personal
health,very high,overwhelmed,avoidant,very slow,extrovert,young,medium,social
risk,medium,concerned,impulsive,slow,introvert,young,medium,professional
career,very high,panic,impulsive,very slow,extrovert,middle,high,professional
money,medium,thinking,cautious,slow,balanced,middle,high,professional
health,very high,overwhelmed,impulsive,very slow,balanced,senior,medium,personal
career,medium,thinking,cautious,moderate,extrovert,middle,medium,personal
money,high,stressed,avoidant,slow,introvert,young,medium,social
conflict,medium,concerned,cautious,slow,extrovert,young,medium,social
risk,medium,thinking,cautious,moderate,introvert,young,high,personal
relationship,high,anxious,avoidant,slow,introvert,middle,medium,personal
conflict,high,anxious,proactive,slow,balanced,young,high,personal
money,high,anxious,cautious,slow,extrovert,young,low,social
conflict,medium,concerned,cautious,slow,introvert,senior,medium,personal
career,high,anxious,avoidant,slow,balanced,senior,medium,professional
conflict,high,stressed,proactive,very slow,extrovert,young,low,personal
money,medium,thinking,cautious,slow,introvert,senior,high,social
career,medium,thinking,cautious,moderate,introvert,middle,low,professional
deadline,very high,overwhelmed,impulsive,very slow,balanced,senior,high,professional
conflict,high,stressed,avoidant,very slow,introvert,senior,low,personal
career,medium,concerned,cautious,slow,balanced,senior,low,personal
conflict,high,anxious,analytical,slow,introvert,middle,medium,personal
ethics,very high,overwhelmed,impulsive,very slow,balanced,young,medium,social
money,medium,concerned,impulsive,slow,extrovert,senior,low,personal
career,medium,concerned,cautious,moderate,introvert,senior,low,social
career,high,stressed,cautious,very slow,extrovert,middle,low,social
health,very high,panic,impulsive,very slow,extrovert,senior,low,personal
relationship,high,stressed,avoidant,slow,introvert,young,high,personal
risk,medium,concerned,cautious,slow,balanced,middle,medium,personal
ethics,very high,panic,impulsive,very slow,extrovert,middle,low,social
conflict,high,stressed,avoidant,slow,balanced,middle,medium,professional
career,very high,panic,impulsive,very slow,extrovert,young,low,professional
health,high,stressed,avoidant,slow,balanced,middle,high,professional
ethics,high,stressed,avoidant,very slow,balanced,middle,medium,social
health,high,anxious,avoidant,slow,introvert,senior,high,social
money,medium,thinking,cautious,moderate,introvert,young,high,professional
risk,high,stressed,proactive,very slow,balanced,senior,low,social
conflict,medium,thinking,cautious,moderate,extrovert,middle,low,professional
career,medium,concerned,cautious,slow,introvert,middle,medium,personal
money,medium,concerned,proactive,slow,introvert,young,high,professional
career,medium,thinking,cautious,slow,introvert,young,high,social
career,medium,concerned,cautious,slow,introvert,young,high,personal
career,medium,concerned,cautious,slow,extrovert,young,low,personal
conflict,medium,concerned,cautious,moderate,balanced,middle,low,professional
money,medium,concerned,cautious,moderate,extrovert,middle,low,professional
career,high,anxious,avoidant,slow,balanced,senior,high,professional
money,high,anxious,avoidant,very slow,balanced,senior,high,personal
ethics,high,anxious,avoidant,very slow,balanced,senior,high,social
deadline,very high,panic,proactive,very slow,introvert,young,medium,social
risk,medium,concerned,cautious,slow,introvert,young,high,professional
relationship,medium,concerned,cautious,moderate,extrovert,young,low,personal
conflict,high,stressed,avoidant,very slow,extrovert,middle,medium,social
ethics,high,stressed,cautious,slow,introvert,senior,low,professional
conflict,medium,concerned,cautious,slow,extrovert,young,low,personal
ethics,very high,overwhelmed,analytical,very slow,balanced,young,low,personal
money,medium,thinking,cautious,moderate,introvert,young,low,personal
conflict,high,stressed,avoidant,slow,balanced,senior,medium,social
relationship,high,anxious,analytical,slow,extrovert,senior,low,personal
money,high,stressed,avoidant,slow,introvert,senior,medium,professional
ethics,high,stressed,cautious,very slow,extrovert,middle,low,personal
deadline,high,stressed,cautious,slow,extrovert,middle,low,professional
deadline,high,anxious,cautious,very slow,balanced,middle,low,personal
conflict,high,stressed,analytical,very slow,extrovert,middle,medium,personal
risk,medium,concerned,cautious,moderate,balanced,young,low,professional
health,very high,overwhelmed,impulsive,very slow,balanced,young,medium,personal
risk,medium,thinking,cautious,moderate,balanced,senior,medium,personal
health,high,stressed,impulsive,slow,extrovert,middle,medium,personal
deadline,very high,panic,impulsive,very slow,extrovert,senior,low,personal
deadline,high,stressed,cautious,very slow,balanced,senior,low,professional
relationship,medium,concerned,cautious,slow,balanced,middle,medium,personal
career,very high,panic,impulsive,very slow,extrovert,young,high,professional
conflict,high,anxious,avoidant,very slow,balanced,middle,high,social
risk,medium,thinking,cautious,moderate,introvert,middle,low,social
relationship,high,anxious,cautious,slow,introvert,middle,low,professional
deadline,high,anxious,cautious,slow,introvert,senior,low,personal
money,high,anxious,cautious,very slow,extrovert,young,low,professional
money,high,stressed,avoidant,very slow,balanced,middle,high,social
ethics,high,stressed,cautious,slow,balanced,young,low,social
ethics,high,anxious,cautious,slow,balanced,middle,high,social
conflict,high,stressed,analytical,very slow,introvert,young,medium,social
deadline,high,anxious,cautious,slow,introvert,middle,low,professional
risk,high,anxious,avoidant,very slow,introvert,middle,high,personal
deadline,high,stressed,avoidant,very slow,extrovert,middle,high,personal
ethics,high,anxious,cautious,slow,balanced,senior,low,social
health,high,anxious,avoidant,slow,introvert,young,medium,personal
risk,low,calm,analytical,fast,balanced,senior,low,professional
relationship,high,stressed,avoidant,slow,balanced,young,high,personal
relationship,medium,thinking,cautious,moderate,introvert,middle,low,social
